No,Platform,Phase/Delay,Indikator,Step Order,Task ID (Airflow),Tipe Step,Script/File,Config (.cfg),Parameter SP,SSH Host,Dependency,Status Convert,Tested/Untested,PIC,Catatan,DAG ID,Task Group,Source System,Target Layer,Tool Target GCP,Schedule/Cadence,Bukti Referensi,Priority,Due Date
10,Cloudera,,Dragon,10,astranet_grstatus_file,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest AstraNet tidak ada di TFS. Butuh file landing infrastruktur AstraNet ke GCP (Cloud Storage + trigger).,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
11,Cloudera,,Dragon,11,astranet_pkbtypenewpss_file,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest AstraNet tidak ada di TFS. Butuh file landing infrastruktur AstraNet ke GCP (Cloud Storage + trigger).,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
12,Cloudera,,Dragon,12,astranet_pkbtypenewahass_file,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest AstraNet tidak ada di TFS. Butuh file landing infrastruktur AstraNet ke GCP (Cloud Storage + trigger).,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
13,Cloudera,,Dragon,13,astranet_tobpm_file,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest AstraNet tidak ada di TFS. Butuh file landing infrastruktur AstraNet ke GCP (Cloud Storage + trigger).,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
14,Cloudera,,Dragon,14,avocado_invoiceleasing,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
15,Cloudera,,Dragon,15,avocado_MarritalStatus,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
16,Cloudera,,Dragon,16,avocado_Occupation,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
17,Cloudera,,Dragon,17,avocado_OrderCustomerData,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
18,Cloudera,,Dragon,18,avocado_OrderDetail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
19,Cloudera,,Dragon,19,avocado_UnitType,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Avocado tidak ada di TFS. Butuh JDBC/API access ke sistem Avocado dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
20,Cloudera,,Dragon,20,master2w_DealerPosition,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
21,Cloudera,,Dragon,21,master2w_DealerPositionResult,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
22,Cloudera,,Dragon,22,master2w_DealerTelephone,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
23,Cloudera,,Dragon,23,master2w_District,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
24,Cloudera,,Dragon,24,master2w_Kecamatan,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
25,Cloudera,,Dragon,25,master2w_Kelurahan,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
26,Cloudera,,Dragon,26,master2w_KKDetail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
27,Cloudera,,Dragon,27,master2w_KKSalesOffice,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
28,Cloudera,,Dragon,28,master2w_KKTransaction,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
29,Cloudera,,Dragon,29,master2w_Lookup,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
30,Cloudera,,Dragon,30,master2w_MarketType,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
31,Cloudera,,Dragon,31,master2w_Province,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
32,Cloudera,,Dragon,32,master2w_Region,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
33,Cloudera,,Dragon,33,master2w_Segment,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
34,Cloudera,,Dragon,34,master2w_UnitType,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest Master2W tidak ada di TFS. Butuh akses ke sistem Master2W dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
35,Cloudera,,Dragon,35,portalhso_ApprovalIndent,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
36,Cloudera,,Dragon,36,portalhso_brand,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
37,Cloudera,,Dragon,37,portalhso_cancel_reason_type_indent,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
38,Cloudera,,Dragon,38,portalhso_city,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
39,Cloudera,,Dragon,39,portalhso_city_ahm,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
40,Cloudera,,Dragon,40,portalhso_dealer,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
41,Cloudera,,Dragon,41,portalhso_dealer_status,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
42,Cloudera,,Dragon,42,portalhso_dealer_telephone,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
43,Cloudera,,Dragon,43,portalhso_dealer_territory_result,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
44,Cloudera,,Dragon,44,portalhso_gender,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
45,Cloudera,,Dragon,45,portalhso_Indent,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
46,Cloudera,,Dragon,46,portalhso_indent_status,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
47,Cloudera,,Dragon,47,portalhso_Indent_unit_availability,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
48,Cloudera,,Dragon,48,portalhso_job_position,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
49,Cloudera,,Dragon,49,portalhso_kecamatan,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
50,Cloudera,,Dragon,50,portalhso_kelurahan,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
51,Cloudera,,Dragon,51,portalhso_main_dealer,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
52,Cloudera,,Dragon,52,portalhso_market_share_monthly,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
53,Cloudera,,Dragon,53,portalhso_market_share_monthly_detail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
54,Cloudera,,Dragon,54,portalhso_pos,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
55,Cloudera,,Dragon,55,portalhso_pos_type,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
56,Cloudera,,Dragon,56,portalhso_province,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
57,Cloudera,,Dragon,57,portalhso_purchase_type,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
58,Cloudera,,Dragon,58,portalhso_salesman,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
59,Cloudera,,Dragon,59,portalhso_salesman_backup,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
60,Cloudera,,Dragon,60,portalhso_salesman_status,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
61,Cloudera,,Dragon,61,portalhso_unit_type,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
62,Cloudera,,Dragon,62,portalhso_unit_type_market_name,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
63,Cloudera,,Dragon,63,portalhso_unit_type_segment,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
64,Cloudera,,Dragon,64,portalhso_unit_type_series,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
65,Cloudera,,Dragon,65,portalhso_work_day,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
66,Cloudera,,Dragon,66,portalhso_ss_salesman,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
67,Cloudera,,Dragon,67,integration_ss_salesman,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,SQL integration tidak ditemukan di TFS. Butuh konfirmasi source dan SQL porting.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
68,Cloudera,,Dragon,68,portalhso_target_per_pos,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
69,Cloudera,,Dragon,69,portalhso_purchase_order,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
70,Cloudera,,Dragon,70,portalhso_purchase_order_detail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PortalHSO tidak ada di TFS. Butuh akses ke Portal HSO dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
71,Cloudera,,Dragon,71,psshso_IncentiveRuleDetail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PSS HSO tidak ada di TFS. Tergantung keputusan arsitektur PSS ingest ke GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
72,Cloudera,,Dragon,72,psshso_IncentiveFormula,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PSS HSO tidak ada di TFS. Tergantung keputusan arsitektur PSS ingest ke GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
73,Cloudera,,Dragon,73,psshso_SalesPersonRAS,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest PSS HSO tidak ada di TFS. Tergantung keputusan arsitektur PSS ingest ke GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
74,Cloudera,,Dragon,74,ManagementSimpliFy_Branch,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest ManagementSimpliFy tidak ada di TFS. Butuh akses dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
75,Cloudera,,Dragon,75,ManagementSimpliFy_Region,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest ManagementSimpliFy tidak ada di TFS. Butuh akses dari GCP.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
76,Cloudera,,Dragon,76,azure_VehicleDocumentDetail,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
77,Cloudera,,Dragon,77,azure_VehicleDocumentActivity,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
78,Cloudera,,Dragon,78,azure_VehicleDocument,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
79,Cloudera,,Dragon,79,azure_PricingSTNK,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
80,Cloudera,,Dragon,80,azure_CEPSMSFollowup,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
81,Cloudera,,Dragon,81,azure_CEPFollowup,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
82,Cloudera,,Dragon,82,azure_Scenario,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
83,Cloudera,,Dragon,83,azure_ContactEntryPlan,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
84,Cloudera,,Dragon,84,azure_Leads,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
85,Cloudera,,Dragon,85,azure_LeadsContainer,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
86,Cloudera,,Dragon,86,azure_LeadsVEtemp,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
87,Cloudera,,Dragon,87,azure_MasterStatus,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
88,Cloudera,,Dragon,88,azure_MonitoringLeadsActivity,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
89,Cloudera,,Dragon,89,azure_ProbingLeads,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
90,Cloudera,,Dragon,90,azure_Prospect,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
91,Cloudera,,Dragon,91,azure_Suspect,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
92,Cloudera,,Dragon,92,azure_SuspectFollowUp,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
93,Cloudera,,Dragon,93,azure_PlatformData,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Task terkait Azure/Synapse — tidak relevan post-migrasi ke Spark SQL. Butuh keputusan: deprecated atau diganti Spark SQL write.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
